Page                                                                                                Page Rank                                                                                           No. of Outlinks                                                                                     No. of Inlinks                                                                                      
http://www.elizabethhurley.com                                                                      1.2655879203658546e-05                                                                              89                                                                                                  197                                                                                                 
https://elizabethforma.com                                                                          1.262312511267803e-05                                                                               10                                                                                                  172                                                                                                 
https://elizabethforma.com/elizabeth                                                                1.262312511267803e-05                                                                               12                                                                                                  172                                                                                                 
https://en.wikipedia.org/wiki/United_States_Senate                                                  1.2531176978332043e-05                                                                              2109                                                                                                7194                                                                                                
https://en.wikipedia.org/wiki/United_States_House_of_Representatives                                1.2485234138993709e-05                                                                              2051                                                                                                8827                                                                                                
https://dailycaller.com/buzz/elizabeth-warren                                                       1.1900665373718248e-05                                                                              71                                                                                                  754                                                                                                 
https://elizabethforma.com/news                                                                     1.154907084880542e-05                                                                               26                                                                                                  171                                                                                                 
http://dailycaller.com/buzz/elizabeth-warren                                                        1.1342782070035142e-05                                                                              71                                                                                                  737                                                                                                 
https://bittycommittee.tumblr.com/archive                                                           1.1217997751239757e-05                                                                              1                                                                                                   585                                                                                                 
https://bittycommittee.tumblr.com/ask                                                               1.1217997751239757e-05                                                                              9                                                                                                   585                                                                                                 
https://medium.com/tag/elizabeth-warren/archive/2019                                                1.0933235561144582e-05                                                                              48                                                                                                  332                                                                                                 
https://mittromneyisatool.tumblr.com                                                                1.0898021809460145e-05                                                                              45                                                                                                  79                                                                                                  
https://ibetmittromney.tumblr.com/mobile/page/2                                                     1.0317551350643885e-05                                                                              11                                                                                                  3                                                                                                   
https://en.wikipedia.org/wiki/U.S._state                                                            1.0195458439043658e-05                                                                              1441                                                                                                3651                                                                                                
https://elizabethwarren.com/plans                                                                   9.851431817939075e-06                                                                               113                                                                                                 211                                                                                                 
http://www.commonwealthfund.org                                                                     9.659033441441346e-06                                                                               51                                                                                                  361                                                                                                 
https://elizabethwarren.com/meet-elizabeth                                                          9.416356386454333e-06                                                                               24                                                                                                  184                                                                                                 
